"Timestamp","What is your name in M4C?","Which movies would you like to see for the theme ""Worst movies of the past two years""? [Cats (2019, 2.8/10)]","Which movies would you like to see for the theme ""Worst movies of the past two years""? [Locked Down (2021, 5.2/10)]","Which movies would you like to see for the theme ""Worst movies of the past two years""? [Money Plane (2019, 4.5/10)]","Which movies would you like to see for the theme ""Worst movies of the past two years""? [Lady Driver (2020, 5.9/10)]","Which movies would you like to see for the theme ""Worst movies of the past two years""? [Sia's Music (2021, 3/10)]","Which movies would you like to see for the theme ""Worst movies of the past two years""? [A Madea Family Funeral]","Which movies would you like to see for the theme ""Worst movies of the past two years""? [The Fanatic (2019, 4.1/10)]","Which movies would you like to see for the theme ""Worst movies of the past two years""? [Loqueesha (2019, 1.7/10)]","Which movies would you like to see for the theme ""Worst movies of the past two years""? [Captain Marvel (2019, 6.9/10)]","Which movies would you like to see for the theme ""Worst movies of the past two years""? [Cosmic Sin (2021, 2.5/10)]","Which movies would you like to see for the theme ""Street Racing""? [The Fast and the Furious (2001)]","Which movies would you like to see for the theme ""Street Racing""? [Motorway (车手 2012)]","Which movies would you like to see for the theme ""Street Racing""? [Live-action Initial D (2005)]","Which movies would you like to see for the theme ""Street Racing""? [Grease (1978)]","Which movies would you like to see for the theme ""Street Racing""? [Mischief 3000 (2020 HD Remaster)]","Which movies would you like to see for the theme ""Street Racing""? [The Fast and the Furious: Tokyo Drift (2006)]","Which movies would you like to see for the theme ""Street Racing""? [The Cannonball Run (1981)]","Which movies would you like to see for the theme ""Street Racing""? [Speed Racer (2008)]","Which movies would you like to see for the theme ""Street Racing""? [The F8 of the Furious]","Which movies would you like to see for the theme ""Board Games""? [Ouija (2014)]","Which movies would you like to see for the theme ""Board Games""? [Pawn Sacrifice (2014)]","Which movies would you like to see for the theme ""Board Games""? [The Divine Move (2014)]","Which movies would you like to see for the theme ""Board Games""? [The Surrounding Game (2018)]","Which movies would you like to see for the theme ""Board Games""? [Battleship (2012)]","Which movies would you like to see for the theme ""Board Games""? [Clue (1985)]","Which movies would you like to see for the theme ""Board Games""? [Zathura (2005)]"
"2021/04/25 6:33:45 pm CET","","","3rd Choice","5th Choice","4th Choice","","2nd Choice","","1st Choice","","","","","1st Choice","4th Choice","","3rd Choice","2nd Choice","","5th Choice","5th Choice","4th Choice","","3rd Choice","1st Choice","2nd Choice",""
"2021/04/25 7:23:34 pm CET","","1st Choice","","5th Choice","","","","4th Choice","2nd Choice","","3rd Choice","","3rd Choice","1st Choice","","4th Choice","","","2nd Choice","5th Choice","","3rd Choice","5th Choice","4th Choice","1st Choice","2nd Choice",""
"2021/04/25 7:45:59 pm CET","","","","1st Choice","4th Choice","","","5th Choice","","3rd Choice","2nd Choice","","2nd Choice","4th Choice","5th Choice","","3rd Choice","","1st Choice","","4th Choice","","3rd Choice","","1st Choice","2nd Choice","5th Choice"
"2021/04/25 8:06:52 pm CET","","","","","","","","","","","","","","","","","","","","","4th Choice","5th Choice","","","3rd Choice","2nd Choice","1st Choice"
"2021/04/28 3:41:47 pm CET","","2nd Choice","1st Choice","","","","","","","","","3rd Choice","","5th Choice","","2nd Choice","4th Choice","","1st Choice","","","","","","2nd Choice","1st Choice",""
"2021/04/28 3:42:04 pm CET","","","5th Choice","","","","1st Choice","","4th Choice","3rd Choice","2nd Choice","","5th Choice","2nd Choice","1st Choice","","4th Choice","","3rd Choice","","4th Choice","3rd Choice","","","5th Choice","1st Choice","2nd Choice"
"2021/04/28 4:07:27 pm CET","","1st Choice","2nd Choice","","3rd Choice","","","","5th Choice","","4th Choice","","4th Choice","5th Choice","3rd Choice","","","2nd Choice","1st Choice","","1st Choice","","","5th Choice","3rd Choice","2nd Choice","4th Choice"
"2021/04/28 4:27:01 pm CET","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/28 4:31:02 pm CET","","2nd Choice","","","","1st Choice","3rd Choice","","","","","","","","3rd Choice","","","2nd Choice","1st Choice","","","","","","3rd Choice","1st Choice","2nd Choice"
"2021/04/28 5:33:18 pm CET","","1st Choice","","5th Choice","3rd Choice","","","","4th Choice","2nd Choice","","","","2nd Choice","5th Choice","","3rd Choice","4th Choice","1st Choice","","","5th Choice","3rd Choice","4th Choice","1st Choice","","2nd Choice"
"2021/04/29 2:36:09 am CET","","2nd Choice","","3rd Choice","","1st Choice","","","4th Choice","5th Choice","","3rd Choice","5th Choice","4th Choice","","","","2nd Choice","1st Choice","","4th Choice","5th Choice","","","2nd Choice","1st Choice","3rd Choice"
